algo,seed,greedy_mode_share_mean,greedy_unanimous_frac,greedy_all_actions_constant,greedy_action_spearman_mean,greedy_sinr_corr_mean,greedy_embb_p5_mbps,sampled_mode_share_mean,sampled_unanimous_frac,sampled_all_actions_constant,sampled_action_spearman_mean,sampled_sinr_corr_mean,sampled_embb_p5_mbps
gnn-mappo_gat,42,0.9993000000000001,0.998,0.0,0.9975782493185777,0.9999364825271485,0.5581582442893982,0.35470000000000007,0.0,0.0,-0.001366446574846917,0.31649627670555724,5.323336470127105e-06
gnn-mappo_gat,43,0.9982999999999999,0.9955,0.0,0.9813793343769245,0.9514412878218268,1.91268685,0.35740000000000005,0.0,0.0,-0.0061970451427448125,0.3152468274580312,6.257165364027024e-06
gnn-mappo_gat,44,1.0,1.0,1.0,,,1.91268685,0.4377000000000001,0.002,0.0,-0.0038446921088364076,0.3050325387931081,1.5732190640625
gnn-mappo_gat,45,1.0,1.0,1.0,,,1.91268685,0.44880000000000003,0.0035000000000000005,0.0,0.005444345718553291,0.3057680635143104,4.453637021780015e-06
gnn-mappo_gat,46,0.9999,0.9995,0.0,0.9994306411680141,0.9999466571648139,1.7165517380741118,0.3616,0.0005,0.0,-0.009048412187972086,0.29760353928818123,5.7294623565673835e-06
gnn-mappo_gat,47,1.0,1.0,0.0,0.9999999999999998,1.0,1.8859185750000003,0.4378,0.0045,0.0,-0.011676222397247889,0.31963987143386097,6.518479168415069e-06
gnn-mappo_gat,48,1.0,1.0,1.0,,,1.91268685,0.3989,0.001,0.0,-0.004811023172419675,0.3243601319563292,4.504521013498307e-06
gnn-mappo_gat,49,0.9987,0.9964999999999999,0.3,0.9948540468931615,0.999393516756632,1.8967985000000003,0.3610000000000001,0.0,0.0,-0.01346539054594217,0.30667987708104766,6.3209767377376555e-06
gnn-mappo_gat,50,1.0,1.0,1.0,,,1.792554175,0.4670000000000001,0.0045,0.0,-0.004018707507510584,0.32926787362702,1.4480056456250001
gnn-mappo_gat,51,1.0,1.0,0.2,0.9999999999999998,0.9999999999999981,1.8985885,0.39930000000000004,0.002,0.0,-0.0029769011551269093,0.32602024837672205,4.244219506978989e-06
gnn-mappo_gat,52,1.0,1.0,1.0,,,1.91268685,0.3768000000000001,0.0005,0.0,-0.0037763694039030333,0.3264394481571565,5.0908149981498715e-06
gnn-mappo_gat,53,0.9997,0.999,0.0,0.9982041453571048,0.9973328819908385,1.788329175,0.3679,0.0005,0.0,-0.003505476435106622,0.3226067595243909,7.3468762707710274e-06
gnn-mappo_gat,54,1.0,1.0,1.0,,,1.91268685,0.42300000000000004,0.001,0.0,-0.007870738574308162,0.3101289521297551,1.0409191123988109
gnn-mappo_gat,55,0.998,0.9940000000000001,0.0,0.9875170195471202,0.9994477287063255,0.9660993209486008,0.35740000000000005,0.0,0.0,-0.01908507452056048,0.3055628901982261,0.5716796891039035
gnn-mappo_gat,56,0.9977,0.9935,0.0,0.9872800048438846,0.9996990964531557,0.7333277984267997,0.35490000000000005,0.0,0.0,-0.010691170882845262,0.31824875218474924,5.409148108959198e-06
gnn-mappo_gat,57,0.9989000000000001,0.9970000000000001,0.0,0.9937659979633334,0.9969822985727523,1.7880291750000001,0.3607000000000001,0.0,0.0,-0.0015555443723462188,0.3165129295488376,0.18940063928225756
gnn-mappo_gat,58,1.0,1.0,0.0,0.9999999999999998,0.9999999999999979,3.8358570098876955e-05,0.4221000000000001,0.002,0.0,-0.012667080607644977,0.4097459079222254,2.585561130642891e-06
gnn-mappo_gat,59,1.0,1.0,1.0,,,1.9102676875,0.4095,0.0015,0.0,-0.009840753705771612,0.30322310428006993,7.285300679206848e-06
gnn-mappo_gat,60,1.0,1.0,0.0,0.9999999999999998,0.9999999999999984,1.8943993000000003,0.3915,0.0005,0.0,-0.001646647009601758,0.3165179885862629,1.6086904118749998
gnn-mappo_gat,61,0.9978,0.994,0.0,0.9892908239292886,0.9949745745166586,1.7880291750000001,0.36300000000000004,0.0,0.0,-0.007317821830291907,0.31463704678844917,6.175769163370133e-06
ippo,42,0.6443,0.051500000000000004,0.0,-0.07832492284464818,0.3140037634862007,1.9272687196731573e-06,0.36569999999999997,0.0,0.0,-0.008610422144775188,0.3156579864624848,3.308584147691727e-06
ippo,43,0.8149000000000001,0.5005,0.0,0.692237941979599,0.9993920219938044,3.76669936478138e-06,0.37250000000000005,0.0005,0.0,-0.013987639458753098,0.37671530986264334,3.162722261846066e-06
ippo,44,1.0,1.0,0.0,0.9999999999999998,0.9999999999999994,3.8358570098876955e-05,0.3677,0.0005,0.0,-0.009898636342926901,0.36697152465153976,3.3417680364847184e-06
ippo,45,0.933,0.742,0.0,0.7810063561997981,0.9973934817773162,1.400616823017597e-05,0.3638,0.0,0.0,-0.012396074210895117,0.3255688788866207,3.575704679787159e-06
ippo,46,1.0,1.0,0.0,0.9999999999999998,0.9999999999999982,3.8358570098876955e-05,0.3719,0.0,0.0,-0.011488547675491258,0.3284347825018276,3.1188396248221398e-06
ippo,47,0.7023999999999999,0.2065,0.0,0.06085888420818549,0.8858637929250144,0.192896607740418,0.3683,0.0,0.0,0.00043641215928267956,0.3284654243054105,3.4485133326053628e-06
ippo,48,0.9982999999999999,0.9944999999999998,0.0,0.8601862021075874,0.9980974236308736,3.8358570098876955e-05,0.3743,0.0005,0.0,-0.010490387850576845,0.32940889478658014,3.2006756919622423e-06
ippo,49,0.7291999999999998,0.1955,0.0,0.021278578174396538,0.7463445428994122,2.207285696268082e-06,0.3777,0.0,0.0,-0.016633868746512622,0.3249136836592287,3.1094112735986714e-06
ippo,50,0.9312000000000001,0.7494999999999999,0.0,0.9059148628627275,0.9994447739825663,2.045396137833595e-05,0.37390000000000007,0.0005,0.0,-0.014398591732907338,0.3625733346284191,3.09863701671362e-06
