run,algo,n_actions,p_uniform,ent_max,p_max,margin,entropy,agree,steps
central-ppo_v4_seed42,central-ppo,11,0.09090909090909091,2.3978952727983707,0.1795719920694828,0.012121120050549506,2.218580022573471,0.163,1000
central-ppo_v4_seed43,central-ppo,11,0.09090909090909091,2.3978952727983707,0.1617298410832882,0.014742741376161576,2.2530325784683227,0.17,1000
central-ppo_v4_seed44,central-ppo,11,0.09090909090909091,2.3978952727983707,0.22216225700080394,0.06080935046076775,2.165968879342079,0.228,1000
central-ppo_v4_seed45,central-ppo,11,0.09090909090909091,2.3978952727983707,0.2706839996576309,0.13456000266969204,2.1594372750520705,0.246,1000
central-ppo_v4_seed46,central-ppo,11,0.09090909090909091,2.3978952727983707,0.25157685777544975,0.1167616714388132,2.156705386638641,0.266,1000
gnn-mappo_gat_v4_seed42,gnn-mappo,11,0.09090909090909091,2.3978952727983707,0.14363136747479438,0.03220001499188947,2.3665516695976256,0.14700000259280205,1000
gnn-mappo_gat_v4_seed43,gnn-mappo,11,0.09090909090909091,2.3978952727983707,0.1341481971293688,0.027196744575572664,2.380019417285919,0.13920000252127648,1000
gnn-mappo_gat_v4_seed44,gnn-mappo,11,0.09090909090909091,2.3978952727983707,0.2849423248767853,0.08716898755729198,1.9054762377738952,0.2882000062465668,1000
gnn-mappo_gat_v4_seed45,gnn-mappo,11,0.09090909090909091,2.3978952727983707,0.30756060662865636,0.06267321812361479,1.960184383034706,0.30440000660717487,1000
gnn-mappo_gat_v4_seed46,gnn-mappo,11,0.09090909090909091,2.3978952727983707,0.1303373539224267,0.005858780515020044,2.3524468529224394,0.13000000217556953,1000
gnn-mappo_sage_v4_seed42,gnn-mappo,11,0.09090909090909091,2.3978952727983707,0.3049527456611395,0.12991494774445891,2.0353452937602996,0.3012000063508749,1000
gnn-mappo_sage_v4_seed43,gnn-mappo,11,0.09090909090909091,2.3978952727983707,0.1922877132296562,0.04305439754202962,2.3032157938480378,0.19820000372827054,1000
gnn-mappo_sage_v4_seed44,gnn-mappo,11,0.09090909090909091,2.3978952727983707,0.1302740069553256,0.013073662938550114,2.331356554508209,0.12540000195801257,1000
gnn-mappo_sage_v4_seed45,gnn-mappo,11,0.09090909090909091,2.3978952727983707,0.22128366145491601,0.06187658919673413,2.177016105175018,0.22660000447928905,1000
gnn-mappo_sage_v4_seed46,gnn-mappo,11,0.09090909090909091,2.3978952727983707,0.16427234683930875,0.009586545094847678,2.2367920246124267,0.15000000269711017,1000
ippo_v4_seed42,ippo,11,0.09090909090909091,2.3978952727983707,0.19765772739052773,0.05682473037391901,2.2781780267953873,0.1922000035941601,1000
ippo_v4_seed43,ippo,11,0.09090909090909091,2.3978952727983707,0.2208975527435541,0.10049783340469003,2.2801257467269895,0.2146000042259693,1000
ippo_v4_seed44,ippo,11,0.09090909090909091,2.3978952727983707,0.19064633475244044,0.05764859807118773,2.3047744300365447,0.1896000034958124,1000
ippo_v4_seed45,ippo,11,0.09090909090909091,2.3978952727983707,0.18266889256238938,0.04634582206886262,2.30741730427742,0.18460000325739384,1000
ippo_v4_seed46,ippo,11,0.09090909090909091,2.3978952727983707,0.21844306038320063,0.08492269110307098,2.2831644568443297,0.20980000399053098,1000
