grad_backbone_l2,grad_head_l2,n_backbone,n_head,algo,seed,backbone,update_idx,ratio_l2,rms_backbone,rms_head,ratio_rms
0.2018173348625044,0.4574601487959849,19392,18188,gnn-mappo,42,gat,0,0.4411692152719287,0.0014492628690488713,0.003392038665840775,0.42725423021958586
0.4375313782621688,0.24200467158243752,19392,18188,gnn-mappo,42,gat,1,1.8079460012123205,0.0031419401162498784,0.0017944496487448595,1.7509213024993655
0.4557963471440657,0.20554731945932417,19392,18188,gnn-mappo,42,gat,2,2.2174764834832272,0.003273101996981781,0.0015241206411116199,2.1475347217885186
0.49771795215783543,0.04771627524971245,19392,18188,gnn-mappo,42,gat,3,10.430779635525614,0.0035741436572473938,0.0003538132251802092,10.101780834865513
0.4997510917929553,0.01577394692337254,19392,18188,gnn-mappo,42,gat,4,31.682057396330222,0.003588743759774653,0.00011696283931578478,30.682768824425523
0.4937948294987357,0.07852813698286795,19392,18188,gnn-mappo,42,gat,5,6.288126122315422,0.003545971468746188,0.0005822812712832024,6.089791383692889
0.4319891466233719,0.2517645555651111,19392,18188,gnn-mappo,42,gat,6,1.7158457657144326,0.0031021410051812063,0.00186681858389797,1.661726014481733
0.4993832338742613,0.024826687984695714,19392,18188,gnn-mappo,42,gat,7,20.11477464018171,0.003586102149117115,0.0001840883535112241,19.480331486035404
0.4849378707826785,0.12180014220860129,19392,18188,gnn-mappo,42,gat,8,3.981422861987703,0.003482369095795294,0.0009031405095370064,3.8558442003454423
0.4996631639017136,0.018350327641444387,19392,18188,gnn-mappo,42,gat,9,27.229114033540178,0.0035881123441035604,0.00013606654274575018,26.370276422824958
0.48295055564087,0.12945554818188576,19392,18188,gnn-mappo,42,gat,10,3.730628485403513,0.0034680980618125895,0.0009599048706129045,3.6129601671863485
0.49972631013236835,0.01654033366146691,19392,18188,gnn-mappo,42,gat,11,30.212589441079583,0.0035885658011243393,0.00012264554950473954,29.259649580563558
0.4917662471907886,0.0903655459285902,19392,18188,gnn-mappo,42,gat,12,5.441966206671272,0.003531404092669598,0.0006700549253445237,5.2703203261342315
0.2709869418475524,0.42019767240987915,19392,18188,gnn-mappo,42,gat,13,0.6449034814814965,0.001945974130935414,0.0031157397116710673,0.624562483074598
0.3580917061307337,0.34895604654808254,19392,18188,gnn-mappo,42,gat,14,1.026179972157016,0.002571478876000416,0.0025874874689858847,0.9938130741975176
0.1395777864829615,0.4801229440894742,19392,18188,gnn-mappo,43,gat,0,0.2907125939329203,0.001002316790238072,0.0035600818890895686,0.28154318396715244
0.4953932648482858,0.06771670979437122,19392,18188,gnn-mappo,43,gat,1,7.31567239980499,0.003557449932686148,0.0005021152083970159,7.084927668379482
0.4995871052785136,0.020315195944351865,19392,18188,gnn-mappo,43,gat,2,24.591793583827645,0.003587566162386564,0.00015063591949755872,23.81614009694883
0.49639169598831323,0.059960926230056937,19392,18188,gnn-mappo,43,gat,3,8.278586192677663,0.0035646197289751023,0.00044460655370154637,8.01747005143776
0.49838829088179754,0.04011382812578053,19392,18188,gnn-mappo,43,gat,4,12.42435125660548,0.0035789574014333716,0.0002974415506917113,12.032472911435454
0.4870129911850463,0.11321811150747878,19392,18188,gnn-mappo,43,gat,5,4.301546675709001,0.003497270664830512,0.000839505283504186,4.1658709403620735
0.49715127070613885,0.05329737770145304,19392,18188,gnn-mappo,43,gat,6,9.327874881405002,0.003570074282398687,0.00039519675413710135,9.033662966675479
0.39561541234965614,0.3057588225162912,19392,18188,gnn-mappo,43,gat,7,1.2938806118295318,0.0028409389507221047,0.0022671827286528216,1.2530701274397118
0.49327510068280267,0.08172920002361035,19392,18188,gnn-mappo,43,gat,8,6.03548181727342,0.0035422392637033473,0.0006060169554396698,5.84511577094972
0.4904494803078453,0.09725904736665228,19392,18188,gnn-mappo,43,gat,9,5.0427131828561205,0.0035219483075560787,0.0007211698114881116,4.883660202426731
0.49908769300424943,0.030190888407799082,19392,18188,gnn-mappo,43,gat,10,16.531070111713646,0.0035839798516965962,0.00022386356736182075,16.009661125001053
0.49850655147777134,0.038616211093268085,19392,18188,gnn-mappo,43,gat,11,12.909255915184163,0.003579806638149004,0.00028633681316588705,12.5020831187189
0.4849481597377727,0.12175910626325775,19392,18188,gnn-mappo,43,gat,12,3.982849206278311,0.00348244298142355,0.0009028362305442658,3.857225556094702
0.48770475716417505,0.11020001839482509,19392,18188,gnn-mappo,43,gat,13,4.425632266383336,0.003502238279472265,0.0008171263100303791,4.286042728623019
0.488067764935958,0.10858124143498038,19392,18188,gnn-mappo,43,gat,14,4.494954731459929,0.0035048450609223305,0.0008051231791486676,4.353178683326857
0.0032316864272192917,0.49998950749599186,19392,18188,gnn-mappo,44,gat,0,0.006463508491216085,2.3206941795009727e-05,0.0037073912261097394,0.006259641990727093
0.0034156463365497725,0.4999883394890247,19392,18188,gnn-mappo,44,gat,1,0.006831451989541347,2.4527969377540723e-05,0.0037073825654104307,0.006615980127431312
0.00677537205279167,0.49995401698703296,19392,18188,gnn-mappo,44,gat,2,0.013551990428286528,4.8654369292866535e-05,0.0037071280661842777,0.013124545045174593
0.0037499795615864675,0.4999859432393499,19392,18188,gnn-mappo,44,gat,3,0.007500169979361405,2.692883711898202e-05,0.0037073647973675282,0.007263605981829266
0.0032134356620940577,0.4999896353433772,19392,18188,gnn-mappo,44,gat,4,0.006427004551578696,2.3075881912340314e-05,0.0037073921740901823,0.006224289427379849
0.0068739352865694854,0.499952799857428,19392,18188,gnn-mappo,44,gat,5,0.013749168498565728,4.936215802204031e-05,0.003707119041243652,0.013315503892068288
0.0029114122080404845,0.4999915288351354,19392,18188,gnn-mappo,44,gat,6,0.005822923069963608,2.0907032651497884e-05,0.003707406214214277,0.00563926137128968
0.004806478738092627,0.49997692918934084,19392,18188,gnn-mappo,44,gat,7,0.009613401054096273,3.4515623599609346e-05,0.0037072979587450886,0.009310183315099065
0.004838342411238835,0.49997655756113346,19392,18188,gnn-mappo,44,gat,8,0.00967713853393464,3.47444386238181e-05,0.0037072952031449516,0.009371910441430155
0.0030189208275110623,0.4999908853928126,19392,18188,gnn-mappo,44,gat,9,0.006037951722138452,2.1679058753257495e-05,0.0037074014431293114,0.005847507772171233
0.0027389359000430857,0.49999245772182654,19392,18188,gnn-mappo,44,gat,10,0.005477954432598475,1.966846952637504e-05,0.003707413101851551,0.005305173441975549
0.012812241997329924,0.499835706340523,19392,18188,gnn-mappo,44,gat,11,0.02563290664273058,9.2005508885791e-05,0.0037062508000691883,0.024824415251140975
0.004009306108553311,0.4999839496462506,19392,18188,gnn-mappo,44,gat,12,0.008018869628495037,2.8791077227017112e-05,0.0037073500149981905,0.007765945246750909
0.0038041281972050972,0.4999854967795049,19392,18188,gnn-mappo,44,gat,13,0.0076084770892519095,2.7317681848624304e-05,0.0037073614868954334,0.007368496960759091
0.004625704996582645,0.4999786051351323,19392,18188,gnn-mappo,44,gat,14,0.009251805875438264,3.321747608691949e-05,0.0037073103857793153,0.008959993264749758
0.0010846307232132955,0.49999880125173496,19392,18188,gnn-mappo,45,gat,0,0.0021692666472358504,7.788800872103373e-06,0.0037074601387328708,0.0021008454792896076
0.0011587294746673357,0.4999986208594591,19392,18188,gnn-mappo,45,gat,1,0.0023174653415554804,8.32090862785381e-06,0.00370745880113532,0.002244369816140838
0.0015752141711140612,0.4999975084086461,19392,18188,gnn-mappo,45,gat,2,0.0031504440414663916,1.1311711209299807e-05,0.0037074505523814524,0.003051075408688544
0.0012646236948733922,0.4999984071871719,19392,18188,gnn-mappo,45,gat,3,0.0025292554470078272,9.081341627804377e-06,0.003707457216768546,0.0024494798177926804
0.0007557579046312692,0.4999994035797202,19392,18188,gnn-mappo,45,gat,4,0.0015115176122620529,5.427144649980067e-06,0.00370746460495757,0.001463842606271403
0.0012037890406480433,0.49999856903920026,19392,18188,gnn-mappo,45,gat,5,0.0024075849716155198,8.644484181538469e-06,0.0037074584168913104,0.002331646969296782
0.0012944863287792723,0.49999829345556324,19392,18188,gnn-mappo,45,gat,6,0.0025889814939824753,9.295787064422977e-06,0.003707456373455713,0.0025073220364717043
0.0013570700443681675,0.49999815310524603,19392,18188,gnn-mappo,45,gat,7,0.00271415011423555,9.745204629429936e-06,0.0037074553327668047,0.002628542694311376
0.0014821654753620352,0.4999977873652047,19392,18188,gnn-mappo,45,gat,8,0.0029643440687457338,1.0643522721632434e-05,0.0037074526208270547,0.0028708452434000596
0.00031503773994548894,0.49999989703017317,19392,18188,gnn-mappo,45,gat,9,0.0006300756096485307,2.2623056595367714e-06,0.0037074682638621116,0.0006102022993934146
