frac,seed,embb_mean_mbps,embb_p5_mbps,violation,readout
central-dqn,42,5.109260320815918,3.8568103790283206e-05,0.17046222133178993,argmax
central-dqn,43,5.298608774884617,4.200975799560547e-05,0.1692291529487536,argmax
central-dqn,44,4.472424815,1.94,0.0037713140706333676,argmax
central-dqn,45,4.0350572794295925,1.937,0.0,argmax
central-dqn,46,6.920621323744576,4.1052913665771485e-05,0.049122867219641486,argmax
central-ppo,42,7.436969231689926,4.1913597106933596e-05,0.0,sampled
central-ppo,43,10.21960761646951,4.156277847290039e-05,0.0,sampled
central-ppo,44,8.54333788156812,4.315902709960937e-05,0.13328018075371256,sampled
central-ppo,45,12.01208471908142,1.7613021568361336,0.0,sampled
central-ppo,46,6.557867763005989,4.070473098754883e-05,0.3064195750334591,sampled
gnn-madqn,42,11.3851384695,1.93995,0.0,argmax
gnn-madqn,43,7.4577370279999995,1.93295,0.09147019510551185,argmax
gnn-madqn,44,7.084427248455734,3.7764347076416015e-05,0.15642026205409815,argmax
gnn-madqn,45,4.165246694912943,3.7053569793701173e-05,0.017118070555946205,argmax
gnn-madqn,46,9.13109299520573,3.959525680541992e-05,0.12094793840950568,argmax
gnn-madqn,42,3.8634347366064445,4.138612365722656e-05,0.2962343585050363,argmax
gnn-madqn,43,3.0784166286989443,1.26555675,0.4401946972516217,argmax
gnn-madqn,44,6.1439921395,1.942,0.32121099620702254,argmax
gnn-madqn,45,6.5342460099999995,1.929,0.0,argmax
gnn-madqn,46,8.761831911253722,1.93495,0.0,argmax
gnn-mappo,42,8.287591558212222,4.160344588756562e-06,0.00397412657293847,sampled
gnn-mappo,43,10.980238273770283,5.7673841476440434e-06,0.0,sampled
gnn-mappo,44,8.781307759653577,1.9068,0.0660642179351396,sampled
gnn-mappo,45,11.200162592983913,2.73515043258667e-06,0.18189388420974278,sampled
gnn-mappo,46,12.575953010819156,7.5577133417129515e-06,0.0,sampled
gnn-mappo,42,11.416804300347167,3.558854961395273e-06,0.12772005650340304,sampled
gnn-mappo,43,10.312485012276317,7.164608240127564e-06,0.0,sampled
gnn-mappo,44,10.00129801479016,5.384554243087769e-06,0.014426049340548452,sampled
gnn-mappo,45,9.965195100142767,2.841519236564636e-06,0.05101976792629669,sampled
gnn-mappo,46,7.119994816626629,6.198311972618103e-06,0.002614296584603437,sampled
idqn,42,5.97458432884424,4.296782016754151e-06,0.12686924511346998,argmax
idqn,43,7.078243408,1.934,0.0,argmax
idqn,44,7.472016072,1.93195,0.5946462562245541,argmax
idqn,45,3.704793701171875e-05,3.537441635131836e-05,0.26327189643822363,argmax
idqn,46,7.103443248,1.193707625,0.1752347971411136,argmax
ippo,42,4.559175977741733,1.2845159769058228e-06,0.23076441512178683,sampled
ippo,43,8.276271933028378,1.4972773969173432e-06,0.1676267077725278,sampled
ippo,44,11.42614012518406,5.844647145271301e-06,0.0,sampled
ippo,45,11.64148680575405,2.23116751909256e-06,0.08570998644662284,sampled
ippo,46,9.777227074681486,3.7326148629188537e-06,0.02230037955305998,sampled
mlp-knn-ppo,42,7.763127534178334,2.6411387205123904e-06,0.08086573977803545,sampled
mlp-knn-ppo,43,7.0864147360558745,2.077118515968323e-06,0.16644973153436576,sampled
mlp-knn-ppo,44,6.270448322478873,2.713960313796998e-06,0.1851519158656104,sampled
mlp-knn-ppo,45,8.263940933652844,2.7974209070205687e-06,0.04977637900273365,sampled
mlp-knn-ppo,46,10.548087227910543,1.6860565304756165e-06,0.08427120573173695,sampled
