algo,family,backbone,algo_family,n_rows,final_step,steps_per_row,budget_target,reward_per_step_final_mean,reward_per_step_final_std,reward_per_episode_equiv,peak_ma_reward_per_step,peak_step,final_ma_reward_per_step,degradation,trend_label,slope_last25pct,convergence_step,embb_mbps_mean,spectral_eff_bps_hz,embb_p5_mbps,urllc_delay_ms_mean,urllc_delay_p95,urllc_delay_p99,urllc_drop_late_pct,urllc_drop_overflow_pct,sla_satisfaction_pct,timely_throughput_mbps,jains_fairness,lam_final,flag_urllc_starving,flag_low_sla,flag_degraded
gnn-mappo_gat,proposed,gat,ppo,1953,999935,512.0,1000000,1.1706143820112178,0.3119674251525522,234.12287640224355,1.2673150390625,435199,1.1544204777644234,0.11289456129807673,plateau,-2.2618673470540324e-07,1535,8.070048764102564,0.8070048564102564,6.482051282051281e-06,0.5948703897435897,4.205128205128205,7.435897435897436,1.3672008974358973,3.072280912820513,95.5605181948718,30.465299292307687,0.5448059846153847,0.6320456410256411,False,False,True
gnn-mappo_sage,proposed,sage,ppo,1953,999935,512.0,1000000,1.161388099959936,0.30691271442928686,232.2776199919872,1.2808921875,436735,1.1510314232772436,0.12986076422275628,plateau,-1.296440604425911e-07,3583,7.980552338461538,0.7980552358974359,1.526192676923077,0.6281489897435897,4.364102564102564,7.764102564102564,1.4349617846153846,3.284321066666667,95.28071715897435,30.373846692307694,0.578003841025641,0.6390967230769231,False,False,True
gnn-mappo_sage,proposed,sage,ppo,1953,999935,512.0,1000000,1.1591537149439102,0.30358704451433244,231.83074298878205,1.2465056640625,435711,1.1557325951522437,0.09077306891025638,degrading,-2.385510280435119e-07,3583,8.027986174358974,0.8027986615384616,4.261538461538462e-06,0.5567703487179487,4.153846153846154,7.579487179487179,1.4773537230769231,3.2202525230769226,95.30239375897436,30.388956276923075,0.5239429743589744,0.6412336666666667,False,False,True
gnn-mappo_sage,proposed,sage,ppo,1953,999935,512.0,1000000,1.1800874298878206,0.3041009627493064,236.01748597756412,1.23962421875,942591,1.1798460396634616,0.059778179086538374,plateau,1.5927231513687979e-07,3071,8.197252276923075,0.819725235897436,3.692307692307692e-06,0.5871553128205128,4.148717948717949,7.161333333333333,1.2912175076923076,2.9231533538461543,95.7856291076923,30.540813553846153,0.506785282051282,0.6475781076923076,False,False,False
gnn-mappo_sage,proposed,sage,ppo,1953,999935,512.0,1000000,1.1720262890625,0.31582863140688494,234.4052578125,1.2514544921875,435199,1.1633843299278845,0.08807016225961539,plateau,-1.4011381161597727e-07,1535,8.079137758974358,0.8079137794871796,0.6189778153846154,0.6291224051282052,4.507692307692308,7.564102564102564,1.4125998923076923,3.2383405333333335,95.34905959999999,30.394775133333333,0.5601954307692307,0.6478134923076924,False,False,True
idqn_floornone,baseline,,dqn,1000,199999,200.0,200000,1.02114665,0.449806626697904,204.22932999999998,1.327659,199,1.09813449,0.22952450999999985,improving,1.4115026870829915e-06,399,7.41779242,0.7417792400000001,1.6560528699999997,1.04494443,5.15,6.1784,3.1582255999999997,6.44426795,90.39750640999999,28.718833490000005,0.6084045499999999,0.9621638000000003,False,False,True
idqn_floornone,baseline,,dqn,1000,199999,200.0,200000,1.024420135,0.35775708315124144,204.884027,1.2046575,77399,1.1009802149999999,0.10367728500000006,improving,1.7347793884702137e-06,24799,7.625623790000001,0.76256239,5.469999999999999e-06,0.87644835,5.01,7.11,2.6315888600000004,4.68525301,92.68315811000001,29.46162181,0.62439332,0.9568092299999997,False,False,True
idqn_floornone,baseline,,dqn,1000,199999,200.0,200000,1.02847782,0.45035609481078703,205.695564,1.2845259999999998,77199,1.11757932,0.1669466799999999,improving,1.19462145154322e-06,24599,7.54231506,0.75423152,1.5942712,1.18361031,5.83,6.94,3.40484667,7.139032359999998,89.45612089999999,28.411875440000003,0.6025892000000002,0.96277593,False,True,True
idqn_floornone,baseline,,dqn,1000,199999,200.0,200000,1.012759935,0.46391455735004505,202.551987,1.2883779999999998,76999,1.090549685,0.19782831499999975,improving,1.1360261546584722e-06,1599,7.440960670000002,0.74409611,1.6201473899999999,1.16783208,5.86,6.97,3.35129682,7.0425664900000005,89.60613668000002,28.460237969999998,0.60619726,0.9710888099999997,False,True,True
idqn_floornone,baseline,,dqn,1000,199999,200.0,200000,0.980255325,0.4331473057692116,196.051065,1.2801654999999998,76799,1.0882641299999998,0.19190137000000007,plateau,7.761555061680943e-07,799,7.10771755,0.7107717800000001,1.6767622899999999,0.8087544599999998,4.87,6.0011,3.2300330500000003,5.751230059999999,91.01873687999998,28.94547227999999,0.6145361800000001,0.9746628399999999,False,False,True
idqn_floorstatic,baseline,,dqn,1000,199999,200.0,200000,1.0427102750000001,0.3832085553638278,208.54205500000003,1.3139135,199,1.1208571649999999,0.19305633500000008,improving,1.2291500888014175e-06,399,7.602596340000002,0.7602596300000002,1.0489999999999998e-05,0.80257151,4.8635,6.37,2.833155310000001,5.128365669999999,92.03847902000001,29.263367330000005,0.59915472,0.9458663300000002,False,False,True
idqn_floorstatic,baseline,,dqn,1000,199999,200.0,200000,1.00878508,0.40116749083253694,201.757016,1.229208,77399,1.09622376,0.1329842400000001,improving,1.2093569183506903e-06,25399,7.757536340000001,0.7757536700000002,0.00957143,1.00321221,5.61,7.6162,4.6048886200000005,7.2764264500000015,88.11868491000001,27.994460200000002,0.5642782000000001,0.9875462099999999,False,True,True
idqn_floorstatic,baseline,,dqn,1000,199999,200.0,200000,1.002051845,0.4338248819291933,200.410369,1.2647485,77199,1.0849469599999997,0.17980154000000037,plateau,9.452467757884089e-07,1999,7.209661350000001,0.7209661199999999,1.63117352,0.8018818200000001,4.65,5.8,2.9441404799999997,5.4456373099999995,91.6102222,29.152452370000006,0.6136884,0.9581801300000001,False,False,True
