algo,seed,arm,episode,mode_share_mean,unanimous_frac,all_actions_constant,action_spearman_mean,sinr_corr_mean,timely_throughput_mbps,embb_p5_mbps,path_agreement_gap
gnn-mappo_gat,42,greedy,0,1.0,1.0,0.0,0.9999999999999998,0.9999999999999984,15.140367076121189,1.938,0.0
gnn-mappo_gat,42,greedy,1,1.0,1.0,0.0,1.0,0.9999879189535434,19.116861131644942,1.709305,0.0
gnn-mappo_gat,42,greedy,2,1.0,1.0,0.0,1.0,0.9999999484996502,28.552048297522877,3.9579315185546873e-05,0.0
gnn-mappo_gat,42,greedy,3,1.0,1.0,0.0,1.0,0.9999999233843221,44.73387057733313,3.952708053588867e-05,0.0
gnn-mappo_gat,42,greedy,4,1.0,1.0,0.0,1.0,0.9999999980796963,70.3341509353546,3.803137969970703e-05,0.0
gnn-mappo_gat,42,greedy,5,0.997,0.99,0.0,0.9921516786409104,0.9996789671633415,75.93274392922115,3.755403137207031e-05,0.0
gnn-mappo_gat,42,greedy,6,1.0,1.0,0.0,1.0,0.9999999985788449,75.74538393079048,3.823892211914062e-05,0.0
gnn-mappo_gat,42,greedy,7,1.0,1.0,0.0,1.0,0.9999991132849552,28.857787608907753,4.315902709960937e-05,0.0
gnn-mappo_gat,42,greedy,8,0.996,0.99,0.0,0.9836308145448663,0.999698957327132,75.36573421182713,4.13531379699707e-05,0.0
gnn-mappo_gat,42,greedy,9,1.0,1.0,0.0,0.9999999999999998,1.0,14.72070241605863,1.934,0.0
gnn-mappo_gat,42,sampled,0,0.37500000000000006,0.0,0.0,-0.0017039499728227266,0.4831837719984368,63.79051942455895,3.0367539286613464e-06,0.0
gnn-mappo_gat,42,sampled,1,0.359,0.0,0.0,0.0025724024039289776,0.19842326517315195,69.51322350362294,4.993045473098755e-06,0.0
gnn-mappo_gat,42,sampled,2,0.3560000000000001,0.0,0.0,-0.027055953571288517,0.09264975024993075,75.76569227989756,4.614978885650634e-06,0.0
gnn-mappo_gat,42,sampled,3,0.35200000000000004,0.0,0.0,0.014979456848864935,0.4859481357932361,74.35144348662084,3.85392599105835e-06,0.0
gnn-mappo_gat,42,sampled,4,0.34800000000000003,0.0,0.0,0.05028016282172108,0.5145802641871936,73.30974292552936,3.888736736774445e-06,0.0
gnn-mappo_gat,42,sampled,5,0.35700000000000004,0.0,0.0,-0.011427483728409035,0.24352363502151425,76.569858533857,7.506904220581055e-06,0.0
gnn-mappo_gat,42,sampled,6,0.345,0.0,0.0,-0.015331242538274248,0.2768887136668224,76.97080756108845,4.6910017251968385e-06,0.0
gnn-mappo_gat,42,sampled,7,0.3360000000000001,0.0,0.0,-0.02127123828696433,0.29581388769572825,71.25019611333569,9.027007341384887e-06,0.0
gnn-mappo_gat,42,sampled,8,0.34600000000000003,0.0,0.0,-0.020239995339112058,0.09532421466559478,76.76932936256152,6.932421588897706e-06,0.0
gnn-mappo_gat,42,sampled,9,0.37300000000000005,0.0,0.0,0.015533375613886753,0.4786271286039632,55.75299544930869,4.688588809967041e-06,0.0
gnn-mappo_gat,43,greedy,0,1.0,1.0,0.0,0.9999999999999998,0.9999999999999962,39.73153081585515,1.938,0.0
gnn-mappo_gat,43,greedy,1,1.0,1.0,0.0,0.9999999999999998,0.9999999999999964,0.27443666450304854,1.7201685,0.0
gnn-mappo_gat,43,greedy,2,1.0,1.0,0.0,1.0,0.9999999999999973,16.20129260888384,1.935,0.0
gnn-mappo_gat,43,greedy,3,0.9990000000000001,0.995,0.0,0.9921574571388181,0.973578130876259,23.15635586011416,1.92995,0.0
gnn-mappo_gat,43,greedy,4,1.0,1.0,0.0,1.0,0.9999999999999961,12.685751271755944,1.932,0.0
gnn-mappo_gat,43,greedy,5,0.996,0.99,0.0,0.927486904688833,0.7339455438139348,5.473464893271821,1.929,0.0
gnn-mappo_gat,43,greedy,6,1.0,1.0,0.0,1.0,0.9999999999999988,14.52182615456691,1.9339,0.0
gnn-mappo_gat,43,greedy,7,0.99,0.975,0.0,0.9162842279347775,0.8635052779647936,8.113424754820882,1.93595,0.0
gnn-mappo_gat,43,greedy,8,0.998,0.995,0.0,0.9778647540068167,0.9433839255633014,11.840471368405462,1.9389,0.0
gnn-mappo_gat,43,greedy,9,1.0,1.0,0.0,1.0,0.9999999999999947,45.85817029980082,1.934,0.0
gnn-mappo_gat,43,sampled,0,0.36200000000000004,0.0,0.0,-0.009243734461507851,0.4524717374477153,62.19944980011851,4.20511224269867e-06,0.0
gnn-mappo_gat,43,sampled,1,0.3550000000000001,0.0,0.0,0.010847357631530437,0.20390534562092816,66.59644454516499,5.540645003318787e-06,0.0
gnn-mappo_gat,43,sampled,2,0.35800000000000004,0.0,0.0,-0.03199179935838918,0.11218948197026832,75.89560134637289,6.038202953338624e-06,0.0
gnn-mappo_gat,43,sampled,3,0.35800000000000004,0.0,0.0,0.0028368822799692203,0.46440625833587834,74.47358272637602,6.388157486915589e-06,0.0
gnn-mappo_gat,43,sampled,4,0.358,0.0,0.0,0.06824980638305003,0.47311282477236494,73.17504088247443,3.892092716693878e-06,0.0
gnn-mappo_gat,43,sampled,5,0.37400000000000005,0.0,0.0,0.012376088815238107,0.26489195488446265,76.48512473243308,8.315485239028931e-06,0.0
gnn-mappo_gat,43,sampled,6,0.35200000000000004,0.0,0.0,-0.04780827316945584,0.24956854110661714,76.90775516587962,5.297353053092957e-06,0.0
gnn-mappo_gat,43,sampled,7,0.3440000000000001,0.0,0.0,-0.015939300327137373,0.3423358437498023,72.79016291417337,9.814483976364135e-06,0.0
gnn-mappo_gat,43,sampled,8,0.36200000000000004,0.0,0.0,-0.027394955458184034,0.11243399602230644,76.76930932199896,8.084183740615846e-06,0.0
gnn-mappo_gat,43,sampled,9,0.35100000000000003,0.0,0.0,-0.02390252376256165,0.47715229066996806,53.829965316378775,4.995937228202821e-06,0.0
gnn-mappo_gat,44,greedy,0,1.0,1.0,1.0,,,0.00020701223452085533,1.938,0.0
gnn-mappo_gat,44,greedy,1,1.0,1.0,1.0,,,0.0002049839756065497,1.7201685,0.0
gnn-mappo_gat,44,greedy,2,1.0,1.0,1.0,,,0.0001999474416383036,1.935,0.0
gnn-mappo_gat,44,greedy,3,1.0,1.0,1.0,,,0.00020117959056390974,1.92995,0.0
gnn-mappo_gat,44,greedy,4,1.0,1.0,1.0,,,0.00020166144801021845,1.932,0.0
gnn-mappo_gat,44,greedy,5,1.0,1.0,1.0,,,0.00019953999366633475,1.929,0.0
gnn-mappo_gat,44,greedy,6,1.0,1.0,1.0,,,0.0002026514995777966,1.9339,0.0
gnn-mappo_gat,44,greedy,7,1.0,1.0,1.0,,,0.0002043016479285881,1.93595,0.0
gnn-mappo_gat,44,greedy,8,1.0,1.0,1.0,,,0.0002092831396809962,1.9389,0.0
gnn-mappo_gat,44,greedy,9,1.0,1.0,1.0,,,0.0001954825702449882,1.934,0.0
gnn-mappo_gat,44,sampled,0,0.44,0.0,0.0,-0.015570275862626834,0.35048314779821754,62.979246251677665,0.8713156218750001,0.0
gnn-mappo_gat,44,sampled,1,0.439,0.0,0.0,0.015861217741207814,0.19626646074030796,72.0443655049287,0.6855240312500002,0.0
gnn-mappo_gat,44,sampled,2,0.44400000000000006,0.0,0.0,-0.016136437431382683,0.09550689401994145,73.5997297260888,1.908,0.0
gnn-mappo_gat,44,sampled,3,0.44400000000000006,0.005,0.0,0.013104635041434987,0.45933499560671753,71.40001317186102,1.911,0.0
gnn-mappo_gat,44,sampled,4,0.445,0.0,0.0,0.012277510155805403,0.49828378319576216,71.06680944798076,1.91095,0.0
gnn-mappo_gat,44,sampled,5,0.44000000000000006,0.0,0.0,0.00191717289937285,0.22894030562686685,74.83196106707932,1.90795,0.0
gnn-mappo_gat,44,sampled,6,0.4330000000000001,0.015,0.0,-0.049865757701083466,0.22863128348919776,76.36532474734828,1.91775,0.0
gnn-mappo_gat,44,sampled,7,0.42200000000000004,0.0,0.0,-0.01115436638242958,0.33637540206294736,73.03695942949518,1.9099,0.0
gnn-mappo_gat,44,sampled,8,0.44300000000000006,0.0,0.0,0.011757919282990964,0.15041837433446706,76.59315884446234,1.92995,0.0
gnn-mappo_gat,44,sampled,9,0.42700000000000005,0.0,0.0,-0.0006385388316535297,0.5060847410566554,55.1351459202113,0.7798509875,0.0
gnn-mappo_gat,45,greedy,0,1.0,1.0,1.0,,,0.00020701223452085533,1.938,0.0
gnn-mappo_gat,45,greedy,1,1.0,1.0,1.0,,,0.0002049839756065497,1.7201685,0.0
gnn-mappo_gat,45,greedy,2,1.0,1.0,1.0,,,0.0001999474416383036,1.935,0.0
gnn-mappo_gat,45,greedy,3,1.0,1.0,1.0,,,0.00020117959056390974,1.92995,0.0
gnn-mappo_gat,45,greedy,4,1.0,1.0,1.0,,,0.00020166144801021845,1.932,0.0
gnn-mappo_gat,45,greedy,5,1.0,1.0,1.0,,,0.00019953999366633475,1.929,0.0
