algo,seed,backbone,readout,embb_p5_mbps_normal,embb_p5_mbps_d2a,embb_p5_mbps_d2b,timely_throughput_mbps_normal,timely_throughput_mbps_d2a,timely_throughput_mbps_d2b,sla_satisfaction_pct_normal,sla_satisfaction_pct_d2a,sla_satisfaction_pct_d2b,cos_embedding,cos_obs_reference
gnn-madqn_gat,42,gat,argmax,1.880298575,0.5799866666439593,1.878893575,69.53459120873332,71.31602274422656,69.57824540483814,91.59022871227972,93.77236957529246,91.7076125800086,1.000000238418579,0.8439927256555645
gnn-madqn_gat,43,gat,argmax,1.9038206250000003,1.3533886376367568,1.9038206250000003,68.35086391438608,68.35062057830167,68.35086391438608,90.00936703158627,90.00936703158627,90.00936703158627,1.0000001192092896,0.8147491264502644
gnn-madqn_gat,44,gat,argmax,3.8358570098876955e-05,5.557728779315949e-06,3.8358570098876955e-05,62.74731537248641,61.452316399938944,62.74731537248641,83.45574906372335,82.60025390352818,83.45574906372335,0.9999998211860657,0.9692149370377982
gnn-madqn_gat,45,gat,argmax,3.8590609359741216e-05,3.2720416635274883e-06,3.8581311798095706e-05,69.44676436869918,70.80418169511617,69.16620717813551,91.33421449024613,93.14234317123814,90.94494456766694,0.9999953508377075,0.9715303411155863
gnn-madqn_gat,46,gat,argmax,3.8358570098876955e-05,3.2986651980876925e-06,3.8358570098876955e-05,70.30914539933565,70.9403610365435,70.2889540675039,92.34809450957181,93.08439311894018,92.33313246739985,1.0,0.9746698078638165
gnn-madqn_sage,42,sage,argmax,1.2879929627498625,1.8859185750000003,,70.15865878804237,70.20521357094275,,92.22807535178327,92.2295320419531,,0.9972468614578247,0.8421384457187358
gnn-madqn_sage,43,sage,argmax,1.9002935,1.156286085367465,,69.12113807800829,69.38833474715571,,90.91037408140305,91.22830771678352,,0.9980664253234863,0.8115109304415551
gnn-madqn_sage,44,sage,argmax,1.8939943,1.9071876875,,68.53797232858732,62.28916787278464,,90.15171284585765,83.50813212775049,,0.9965947866439819,0.8318279874884572
gnn-madqn_sage,45,sage,argmax,1.9039156250000002,0.9667817835210085,,68.39348364066741,68.87997056510486,,90.06460439446015,90.59264905795968,,0.9985149502754211,0.8141852524947308
gnn-madqn_sage,46,sage,argmax,1.8981884999999998,1.93447,,69.12946566869093,68.60713077343947,,90.92119309585851,90.17099940309221,,0.9463518857955933,0.8115934125486696
gnn-mappo_gat,42,gat,sampled,5.323336470127105e-06,5.342271173000336e-06,5.3410209035873414e-06,71.4043808640381,70.20993054238757,71.33620596706734,93.97285710905031,92.33058185401988,93.88177510450188,1.0,0.9097692333905153
gnn-mappo_gat,43,gat,sampled,6.257165364027024e-06,6.220744607448578e-06,6.257165364027024e-06,70.91224367513706,70.76919638945485,70.90612123278108,93.32250639448799,93.22538427737088,93.31777501138296,1.0,0.9843566494229302
gnn-mappo_gat,44,gat,sampled,1.5732190640625,1.573314405625,1.5732190640625,70.70527141111333,70.67245661337616,70.70527141111333,93.27528773430143,93.21344939637615,93.27528773430143,1.0,0.9843601693582379
gnn-mappo_gat,45,gat,sampled,4.453637021780015e-06,4.5667525899410256e-06,4.453637021780015e-06,71.16057374130469,71.0741290077022,71.16057374130469,94.00762916542962,93.89433019286406,94.00762916542962,0.9999998807907104,0.9843601693582379
gnn-mappo_gat,46,gat,sampled,5.7294623565673835e-06,5.686668993234635e-06,5.728138422966005e-06,70.58058390078054,70.68161516881011,70.59971591657637,92.86787665518203,93.00809403700798,92.89695897420813,1.0,0.7955492280642946
gnn-mappo_gat,47,gat,sampled,6.518479168415069e-06,6.4088985967636105e-06,6.518479168415069e-06,70.6998875712635,70.63064468859969,70.6998875712635,92.88525982409882,92.81754921496959,92.88525982409882,1.0,0.8443929039128026
gnn-mappo_gat,48,gat,sampled,4.504521013498307e-06,4.473756315112114e-06,4.504521013498307e-06,72.27177859005522,72.20076881083828,72.27177859005522,95.14845458643333,95.03039388199474,95.14845458643333,1.0,0.9843601693582379
gnn-mappo_gat,49,gat,sampled,6.3209767377376555e-06,6.276468358039855e-06,6.337878769636153e-06,70.22009083919724,70.69505014371195,70.29190695341192,92.35754449229668,93.01211815805877,92.45237685682334,0.9999998807907104,0.8115109304415551
gnn-mappo_gat,50,gat,sampled,1.4480056456250001,1.447962288125,1.4480056456250001,72.10887115548141,72.1729503862575,72.10887115548141,94.73862713859026,94.7587058467641,94.73862713859026,1.0,0.8625416944578493
gnn-mappo_gat,51,gat,sampled,4.244219506978989e-06,4.51101742744446e-06,4.244219506978989e-06,70.85826747824485,70.83088860045812,70.85826747824485,93.27070912862742,93.23425962082953,93.27070912862742,1.0,0.8115934125486696
gnn-mappo_gat,52,gat,sampled,5.0908149981498715e-06,5.110312403440475e-06,5.0908149981498715e-06,72.05959049678803,72.14174812255432,72.05936506374749,94.83042520288856,95.0068897679665,94.83025827748752,1.0,0.9843601693582379
gnn-mappo_gat,53,gat,sampled,7.3468762707710274e-06,7.327002232074738e-06,7.340062673091889e-06,71.01552110172156,70.2863792081084,71.00848087015747,93.47314618105683,92.48806860586232,93.46032258327686,1.0,0.9715873529474661
gnn-mappo_gat,54,gat,sampled,1.0409191123988109,0.9081361450445555,1.040949932086311,72.51793425834721,72.52734528373153,72.49694942113538,95.18687518330293,95.19475991755913,95.1591655667306,1.0,0.9843601693582379
gnn-mappo_gat,55,gat,sampled,0.5716796891039035,0.7227027481460218,0.5716797829570577,70.9769795152851,71.45557577552567,70.97361502900993,93.43367516140916,94.04997234153373,93.43434570947217,1.0,0.9711683692621212
gnn-mappo_gat,56,gat,sampled,5.409148108959198e-06,5.453272436857224e-06,5.4075583481788635e-06,71.11974016769439,70.96199528581955,71.14594622331182,93.57304164920679,93.38391019256937,93.60752962288329,1.0,0.8334481994905376
gnn-mappo_gat,57,gat,sampled,0.18940063928225756,0.1904910388268924,0.18940064706636667,70.98654498759656,71.48685377395506,70.98009495441156,93.5522343476687,94.0448155053287,93.54327261506606,1.0,0.8582808955007677
gnn-mappo_gat,58,gat,sampled,2.585561130642891e-06,2.578941305279732e-06,2.585561130642891e-06,71.5390420920017,71.48728305748122,71.5390420920017,94.23075323307127,94.17096358380323,94.23075323307127,1.000000238418579,0.9762414730224901
gnn-mappo_gat,59,gat,sampled,7.285300679206848e-06,7.2587834191322345e-06,7.285300679206848e-06,69.11334263126997,69.2672952999263,69.11334263126997,91.3236644158972,91.47555566984406,91.3236644158972,1.0,0.7975836609692323
