wall_time,elapsed_sec,step,episode,ep_reward,ep_reward_ma100,sps,loss,policy_loss,value_loss,entropy,epsilon,embb_mbps_mean,spectral_eff_bps_hz,urllc_delay_ms_mean,sla_violation_pct,sla_satisfaction_pct,jains_fairness
2026-07-09 23:38:20,711.6,7799,39,2.0643,-90.0254,11.0,10.671708,,,,0.05,0.220269,0.022027,122110.185547,1.0,99.0,0.377527
2026-07-09 23:38:40,732.58,7999,40,38.093,-86.8224,10.9,6.957282,,,,0.05,1.651163,0.165116,163960.011636,1.5,98.5,0.331241
2026-07-09 23:39:01,753.07,8199,41,12.1517,-84.4084,10.9,7.529563,,,,0.05,0.508177,0.050818,59322.396957,0.6,99.4,0.402058
2026-07-09 23:39:21,773.49,8399,42,13.7324,-82.0717,10.9,8.021103,,,,0.05,0.644084,0.064408,112047.566288,1.0,99.0,0.368755
2026-07-09 23:39:42,794.03,8599,43,-400.0,-89.4654,10.8,8.451769,,,,0.05,0.147133,0.014713,47507.051683,20.2,79.8,0.534548
2026-07-09 23:40:03,814.67,8799,44,7.1326,-87.27,10.8,13.572016,,,,0.05,0.237754,0.023775,0.0,0.0,100.0,0.398771
2026-07-09 23:40:24,835.66,8999,45,2.0084,-85.286,10.8,6.386014,,,,0.05,0.29739,0.029739,197116.955078,1.5,98.5,0.529321
2026-07-09 23:40:44,856.49,9199,46,11.9956,-83.1712,10.7,6.62354,,,,0.05,0.399853,0.039985,0.0,0.0,100.0,0.772738
2026-07-09 23:41:06,877.66,9399,47,-0.5069,-81.4124,10.7,9.254278,,,,0.05,0.115861,0.011586,1.005487,0.2,99.8,0.814723
2026-07-09 23:41:27,898.69,9599,48,11.1578,-79.4838,10.7,5.918878,,,,0.05,0.446728,0.044673,65279.30734,0.5,99.5,0.736632
2026-07-09 23:41:48,919.83,9799,49,16.4899,-77.5252,10.7,7.823648,,,,0.05,0.622528,0.062253,66559.378906,0.5,99.5,0.507565
2026-07-09 23:42:08,940.4,9999,50,11.1907,-75.7509,10.6,15.688064,,,,0.05,0.5167,0.05167,130558.964844,1.0,99.0,0.5367
2026-07-09 23:42:30,961.87,10199,51,24.3852,-73.7874,10.6,11.32098,,,,0.05,0.812842,0.081284,0.0,0.0,100.0,0.611871
2026-07-09 23:42:51,983.5,10399,52,74.383,-70.938,10.6,8.911946,,,,0.05,2.571524,0.257152,55147.525883,0.5,99.5,0.290393
2026-07-09 23:43:12,1004.36,10599,53,50.2888,-68.6507,10.6,5.633734,,,,0.05,1.782357,0.178236,61712.10201,0.6,99.4,0.250581
2026-07-09 23:43:33,1025.13,10799,54,62.014,-66.231,10.5,4.864758,,,,0.05,2.155199,0.21552,65277.860352,0.5,99.5,0.625736
2026-07-09 23:43:54,1045.72,10999,55,92.3465,-63.3477,10.5,11.401526,,,,0.05,3.163863,0.316386,59265.372676,0.5,99.5,0.432633
2026-07-09 23:44:15,1066.76,11199,56,-400.0,-69.3594,10.5,7.141587,,,,0.05,2.215704,0.22157,48383.514714,40.4,59.6,0.396216
2026-07-09 23:44:36,1088.48,11399,57,79.7165,-66.744,10.5,8.658131,,,,0.05,2.657217,0.265722,0.0,0.0,100.0,0.571692
2026-07-09 23:44:58,1110.27,11599,58,91.8972,-64.0088,10.4,2.528384,,,,0.05,3.147781,0.314778,62718.211914,0.5,99.5,0.579473
2026-07-09 23:45:19,1131.1,11799,59,226.7086,-59.0814,10.4,9.461889,,,,0.05,8.335534,0.833553,279107.34531,3.1,96.9,0.300559
2026-07-09 23:45:39,1151.43,11999,60,192.7627,-54.884,10.4,4.454894,,,,0.05,6.425425,0.642542,0.0,0.0,100.0,0.614447
2026-07-09 23:46:00,1172.29,12199,61,-392.7021,-60.422,10.4,13.866795,,,,0.05,1.419983,0.141998,1483691.615035,23.2,76.8,0.584156
2026-07-09 23:46:21,1193.58,12399,62,-400.0,-65.8991,10.4,5.142705,,,,0.05,3.757172,0.375717,1157799.669228,20.4,79.6,0.361194
2026-07-09 23:46:42,1214.37,12599,63,95.2809,-63.3407,10.4,9.701326,,,,0.05,3.261407,0.326141,55218.455024,0.5,99.5,0.406311
2026-07-09 23:47:03,1235.11,12799,64,164.8134,-59.7758,10.4,6.368422,,,,0.05,5.493779,0.549378,0.0,0.0,100.0,0.652067
2026-07-09 23:47:24,1255.59,12999,65,-400.0,-65.01,10.4,8.008521,,,,0.05,0.95344,0.095344,9804.859839,20.0,80.0,0.392801
2026-07-09 23:47:44,1276.36,13199,66,135.0792,-61.9783,10.3,7.007612,,,,0.05,4.612751,0.461275,62458.837975,0.6,99.4,0.556371
2026-07-09 23:48:05,1297.32,13399,67,71.3653,-59.9881,10.3,5.980871,,,,0.05,2.545671,0.254567,129788.650391,1.0,99.0,0.561211
2026-07-09 23:48:26,1317.84,13599,68,41.497,-58.4957,10.3,9.13986,,,,0.05,1.383232,0.138323,0.0,0.0,100.0,0.435138
2026-07-09 23:48:46,1338.37,13799,69,27.3743,-57.2512,10.3,9.461166,,,,0.05,3.162774,0.316277,54793.025765,7.4,92.6,0.415431
2026-07-09 23:49:07,1359.21,13999,70,53.8775,-55.6636,10.3,12.541094,,,,0.05,2.331033,0.233103,363431.204978,3.0,97.0,0.430094
2026-07-09 23:49:28,1380.02,14199,71,240.1177,-51.4977,10.3,8.800875,,,,0.05,8.195182,0.819518,45801.647862,0.6,99.4,0.545065
2026-07-09 23:49:48,1400.52,14399,72,142.9986,-48.7964,10.3,9.795098,,,,0.05,4.766621,0.476662,0.0,0.0,100.0,0.489833
2026-07-09 23:50:09,1421.53,14599,73,130.9293,-46.3344,10.3,8.545654,,,,0.05,4.476183,0.447618,51716.568332,0.5,99.5,0.597092
2026-07-09 23:50:30,1442.54,14799,74,47.7492,-45.063,10.3,11.124374,,,,0.05,1.684847,0.168485,58790.794418,0.6,99.4,0.426986
2026-07-09 23:50:52,1464.15,14999,75,108.6112,-43.014,10.2,8.095287,,,,0.05,3.830934,0.383093,111004.94038,1.0,99.0,0.377158
2026-07-09 23:51:13,1484.92,15199,76,122.8762,-40.8312,10.2,10.35043,,,,0.05,4.095872,0.409587,0.0,0.0,100.0,0.50907
2026-07-09 23:51:34,1505.91,15399,77,44.2047,-39.7269,10.2,6.876764,,,,0.05,1.724445,0.172444,169703.313174,1.5,98.5,0.241646
2026-07-09 23:51:55,1526.72,15599,78,53.693,-38.5292,10.2,6.979869,,,,0.05,1.962104,0.19621,103178.735267,1.0,99.0,0.244047
2026-07-09 23:52:16,1547.97,15799,79,-399.97,-43.1044,10.2,7.369323,,,,0.05,0.477459,0.047746,8850.491046,20.1,79.9,0.423923
2026-07-09 23:52:38,1569.68,15999,80,60.5163,-41.8091,10.2,7.476455,,,,0.05,2.193769,0.219377,127478.000301,1.0,99.0,0.541605
2026-07-09 23:52:59,1591.19,16199,81,34.5183,-40.8668,10.2,7.599661,,,,0.05,1.150609,0.115061,0.0,0.0,100.0,0.725984
