step,episode,ep_reward,loss
92671,463,-366.6371,197.421738
93183,465,115.413,15.720641
93695,468,-215.9939,82.175339
94207,471,-53.1329,111.693787
94719,473,116.731,7.827337
95231,476,-311.9554,201.166946
95743,478,110.6323,11.103551
96255,481,149.6105,13.81706
96767,483,-647.3233,365.952057
97279,486,-571.8155,227.12149
97791,488,34.8576,8.640202
98303,491,149.8832,12.797326
98815,494,-432.6785,202.139832
99327,496,-276.6657,116.394501
99839,499,-539.0431,248.756775
100351,501,34.1826,3.020577
100863,504,-497.369,214.973312
101375,506,67.4208,3.05308
101887,509,74.2775,3.60126
102399,512,-401.6253,196.435333
102911,514,-394.6581,195.099747
103423,517,17.9796,0.696762
103935,519,153.7253,14.301319
104447,522,199.7204,28.798082
104959,524,135.5485,9.926262
105471,527,-37.3251,8.330116
105983,529,-141.4522,40.535763
106495,532,-370.4337,196.935287
107007,535,46.0156,2.423855
107519,537,101.7437,6.927606
108031,540,99.7547,5.848662
108543,542,119.5646,8.329866
109055,545,195.8984,53.168697
109567,547,-172.6175,22.744957
110079,550,-774.381,392.622009
110591,552,118.3692,13.512792
111103,555,-446.4631,312.207306
111615,558,-571.0577,275.924194
112127,560,17.5377,2.426022
112639,563,50.3159,3.344251
113151,565,171.8365,21.196217
113663,568,195.8337,21.793787
114175,570,-376.4591,197.872482
114687,573,-120.6999,76.599625
115199,576,-359.9441,130.018982
115711,578,-329.0056,193.648117
116223,581,11.2191,11.080901
116735,583,-364.9656,177.4711
117247,586,-177.6679,80.987755
117759,588,110.9346,7.813158
118271,591,-148.2915,54.882736
118783,593,-133.0691,126.564346
119295,596,-385.7521,195.829803
119807,599,33.4362,1.684279
120319,601,132.4565,9.076379
120831,604,-54.8845,24.174307
121343,606,-629.3963,293.381561
121855,609,-492.5108,234.559341
122367,611,10.1979,7.652954
122879,614,162.3663,18.476723
123391,616,89.8194,5.077446
123903,619,113.4686,8.308787
124415,622,81.0986,4.389169
124927,624,-4.5204,4.604557
125439,627,-194.9949,168.4814
125951,629,71.6938,7.7166
126463,632,-353.1988,198.038849
126975,634,76.5199,8.698727
127487,637,80.9666,5.500895
127999,640,76.7266,3.448171
128511,642,102.0172,5.083261
129023,645,-71.8787,33.977543
129535,647,208.8333,21.671982
130047,650,-378.3393,196.231842
130559,652,-286.6931,151.953323
131071,655,-500.9287,218.414642
131583,657,-10.548,12.98651
132095,660,100.568,22.180958
132607,663,120.1518,17.283026
133119,665,14.4426,17.047333
133631,668,139.0189,30.958786
134143,670,12.4615,23.473555
134655,673,-781.1058,394.681274
135167,675,-25.5002,7.913349
135679,678,-38.1605,70.980453
136191,680,-562.9652,309.205688
136703,683,49.2992,1.451415
137215,686,7.4203,0.620237
137727,688,55.5333,10.395387
138239,691,-132.971,39.702457
138751,693,-487.9805,317.138916
139263,696,55.9895,39.827606
139775,698,119.0595,17.493984
140287,701,74.6635,4.615474
140799,704,29.6577,4.383582
141311,706,-465.3592,262.17514
141823,709,-84.0749,11.365819
142335,711,-148.0169,47.783478
142847,714,146.2496,9.949129
143359,716,113.0371,6.02072
143871,719,-324.2187,200.302048
144383,721,72.4492,2.791485
144895,724,-339.4254,201.018234
145407,727,208.8396,19.533409
145919,729,77.7866,3.428621
146431,732,27.2519,20.424995
146943,734,-549.1561,241.851822
147455,737,-328.4015,134.05777
147967,739,33.7088,2.242248
148479,742,89.7876,4.05853
148991,744,149.0865,14.953368
149503,747,164.6161,14.58773
150015,750,-344.6301,197.144821
150527,752,-220.7836,118.024696
151039,755,-121.9552,55.088497
151551,757,96.9892,6.641171
152063,760,-279.8189,206.766769
152575,762,72.9941,2.584023
153087,765,-140.6797,37.085663
153599,768,98.2882,4.77699
154111,770,130.7432,7.889049
154623,773,96.306,7.43304
155135,775,76.0971,6.265497
155647,778,-267.7499,98.958595
156159,780,-149.286,169.481644
156671,783,210.4521,18.509712
157183,785,100.0274,7.469254
157695,788,-466.3375,210.004196
158207,791,79.7112,7.259925
158719,793,-766.1051,379.85788
159231,796,131.8967,8.045459
159743,798,112.5961,8.7689
160255,801,121.6918,5.999896
160767,803,-262.3664,168.659622
161279,806,-41.2538,16.455393
161791,808,-122.9469,37.585163
162303,811,133.0213,9.826397
162815,814,-431.9138,200.946854
163327,816,-196.3865,119.594063
163839,819,-45.8197,59.692829
164351,821,-52.8159,17.643776
164863,824,75.425,10.87929
165375,826,-251.4907,221.736359
165887,829,54.7642,1.697468
166399,832,-314.2512,204.544464
166911,834,285.9785,41.665222
167423,837,-360.6425,197.065872
167935,839,111.6301,5.857781
168447,842,-419.5847,230.328217
168959,844,-168.1227,157.121475
169471,847,49.327,5.806148
169983,849,38.5859,1.224728
170495,852,-18.006,3.049897
171007,855,125.9804,7.041613
171519,857,91.9056,9.650443
172031,860,-342.8058,199.606476
172543,862,113.8843,7.317797
173055,865,251.0735,39.522556
173567,867,-118.7155,40.372932
174079,870,-437.2487,166.759491
174591,872,73.5243,2.446038
175103,875,-29.4375,14.106902
175615,878,-359.3021,196.572342
176127,880,-187.5577,120.992638
176639,883,-556.9206,251.015213
177151,885,76.3084,3.373484
177663,888,262.5302,38.462234
178175,890,95.5929,4.903407
178687,893,84.6411,4.675997
179199,896,72.4236,2.972238
179711,898,89.4332,4.606405
180223,901,-266.6949,88.589821
