step,episode,ep_reward,loss
124927,624,-88.0524,
125439,627,-306.8109,
125951,629,-146.3435,
126463,632,-394.1655,
126975,634,10.487,
127487,637,35.9512,
127999,640,47.5531,
128511,642,37.6377,
129023,645,-179.6943,
129535,647,112.827,
130047,650,-428.5133,
130559,652,-325.6924,
131071,655,-576.307,
131583,657,-167.1715,
132095,660,-13.5727,
132607,663,77.772,
133119,665,-121.7217,
133631,668,-79.7704,
134143,670,-152.4612,
134655,673,-817.3183,
135167,675,-121.8527,
135679,678,-115.4842,
136191,680,-563.9983,
136703,683,-57.0601,
137215,686,-53.9921,
137727,688,-20.4479,
138239,691,-152.8981,
138751,693,-546.6106,
139263,696,9.5151,
139775,698,-21.2019,
140287,701,-53.6528,
140799,704,-92.9155,
141311,706,-493.5242,
141823,709,-215.0391,
142335,711,-293.1667,
142847,714,100.018,
143359,716,36.1293,
143871,719,-366.1619,
144383,721,15.8222,
144895,724,-379.2916,
145407,727,159.0481,
145919,729,7.9744,
146431,732,-33.2484,
146943,734,-664.9777,
147455,737,-467.2157,
147967,739,-13.0987,
148479,742,35.5372,
148991,744,55.0984,
149503,747,85.1161,
150015,750,-433.553,
150527,752,-272.0628,
151039,755,-201.7367,
151551,757,27.2465,
152063,760,-340.0044,
152575,762,5.4931,
153087,765,-328.2237,
153599,768,-28.1764,
154111,770,22.5838,
154623,773,34.9075,
155135,775,-56.9797,
155647,778,-446.2825,
156159,780,-221.97,
156671,783,141.4051,
157183,785,51.4501,
157695,788,-552.8399,
158207,791,-84.9081,
158719,793,-782.1402,
159231,796,43.3765,
159743,798,36.5237,
160255,801,-4.9441,
160767,803,-362.918,
161279,806,-207.5385,
161791,808,-358.0059,
162303,811,83.6004,
162815,814,-529.2183,
163327,816,-244.7123,
163839,819,-98.8366,
164351,821,-197.0325,
164863,824,-51.7773,
165375,826,-276.1275,
165887,829,-44.8718,
166399,832,-364.3858,
166911,834,176.224,
167423,837,-396.1482,
167935,839,59.3371,
168447,842,-492.3803,
168959,844,-213.1354,
169471,847,-52.239,
169983,849,-73.8508,
170495,852,-170.1933,
171007,855,50.6464,
171519,857,-66.3858,
172031,860,-448.1937,
172543,862,9.0274,
173055,865,109.0683,
173567,867,-342.1049,
174079,870,-601.1132,
174591,872,31.7539,
175103,875,-108.3481,
175615,878,-407.6996,
176127,880,-235.5814,
176639,883,-660.3192,
177151,885,-35.7562,
177663,888,208.5991,
178175,890,14.9864,
178687,893,-47.6324,
179199,896,-27.4648,
179711,898,-8.1981,
180223,901,-332.3583,
180735,903,-377.7556,
181247,906,-38.8423,
181759,908,-176.6879,
182271,911,-170.636,
182783,913,-28.9734,
183295,916,0.9948,
183807,919,-59.9226,
184319,921,-336.6277,
184831,924,28.906,
185343,926,54.5158,
185855,929,26.15,
186367,931,-330.8583,
186879,934,-461.5305,
187391,936,24.8831,
187903,939,-456.4307,
188415,942,78.0679,
188927,944,-221.2863,
189439,947,40.6637,
189951,949,43.0863,
190463,952,-7.4978,
190975,954,50.1017,
191487,957,85.2472,
191999,960,-24.7393,
192511,962,-23.5941,
193023,965,-31.4885,
193535,967,-412.6363,
194047,970,-364.0861,
194559,972,111.9991,
195071,975,-120.7745,
195583,977,-356.6192,
196095,980,47.2235,
196607,983,-80.6538,
197119,985,36.1053,
197631,988,40.9423,
198143,990,-1.5783,
198655,993,31.6266,
199167,995,12.9832,
199679,998,-389.8325,
200191,1000,42.4349,
200703,1003,-50.5214,
201215,1006,106.8251,
201727,1008,-500.9756,
202239,1011,-37.8804,
202751,1013,26.4321,
203263,1016,120.1012,
203775,1018,-295.0296,
204287,1021,-462.6727,
204799,1024,14.9002,
205311,1026,-383.1777,
205823,1029,47.4409,
206335,1031,-582.9545,
206847,1034,-57.5767,
207359,1036,-300.5821,
207871,1039,-43.5043,
208383,1041,162.5831,
208895,1044,100.732,
209407,1047,-287.2046,
209919,1049,-335.0588,
210431,1052,20.8417,
210943,1054,-61.4261,
211455,1057,-259.2466,
211967,1059,-131.6278,
212479,1062,-105.4165,
212991,1064,-180.3895,
