step,episode,ep_reward,loss
120319,601,-382.9654,
120831,604,-502.3466,
121343,606,-817.9434,
121855,609,-689.8201,
122367,611,-431.6725,
122879,614,-309.4641,
123391,616,-416.6046,
123903,619,-328.7134,
124415,622,-370.4071,
124927,624,-421.9049,
125439,627,-600.5635,
125951,629,-440.466,
126463,632,-655.3056,
126975,634,-364.344,
127487,637,-388.2408,
127999,640,-407.025,
128511,642,-351.7843,
129023,645,-551.2926,
129535,647,-275.4006,
130047,650,-635.7996,
130559,652,-586.9995,
131071,655,-738.7158,
131583,657,-521.0928,
132095,660,-359.1968,
132607,663,-391.4053,
133119,665,-409.6114,
133631,668,-466.9237,
134143,670,-469.2763,
134655,673,-911.3687,
135167,675,-492.2922,
135679,678,-478.5689,
136191,680,-741.5026,
136703,683,-448.6736,
137215,686,-443.4326,
137727,688,-415.7749,
138239,691,-554.7569,
138751,693,-718.1192,
139263,696,-400.3833,
139775,698,-428.0994,
140287,701,-418.6801,
140799,704,-446.3803,
141311,706,-683.3722,
141823,709,-570.3598,
142335,711,-563.2422,
142847,714,-354.3015,
143359,716,-343.5379,
143871,719,-617.0625,
144383,721,-414.7914,
144895,724,-618.1157,
145407,727,-285.5537,
145919,729,-376.4068,
146431,732,-428.4478,
146943,734,-777.4659,
147455,737,-620.6432,
147967,739,-427.8776,
148479,742,-410.8155,
148991,744,-388.0826,
149503,747,-384.3064,
150015,750,-616.5258,
150527,752,-591.384,
151039,755,-519.7179,
151551,757,-363.156,
152063,760,-613.8133,
152575,762,-412.5024,
153087,765,-557.1651,
153599,768,-449.8854,
154111,770,-360.0456,
154623,773,-398.8185,
155135,775,-470.8039,
155647,778,-648.4279,
156159,780,-531.8382,
156671,783,-308.3056,
157183,785,-421.369,
157695,788,-770.3137,
158207,791,-464.7363,
158719,793,-861.8749,
159231,796,-366.6787,
159743,798,-345.5601,
160255,801,-395.2402,
160767,803,-644.9288,
161279,806,-433.1932,
161791,808,-632.5617,
162303,811,-418.0317,
162815,814,-693.0891,
163327,816,-544.7306,
163839,819,-428.9592,
164351,821,-532.4017,
164863,824,-427.2194,
165375,826,-575.0575,
165887,829,-437.1513,
166399,832,-631.2707,
166911,834,-248.9731,
167423,837,-668.9445,
167935,839,-382.0933,
168447,842,-717.4511,
168959,844,-538.4524,
169471,847,-391.7292,
169983,849,-421.0575,
170495,852,-438.0984,
171007,855,-405.8957,
171519,857,-422.8137,
172031,860,-632.4031,
172543,862,-406.406,
173055,865,-323.8797,
173567,867,-592.6656,
174079,870,-741.0038,
174591,872,-373.3759,
175103,875,-503.0189,
175615,878,-626.9456,
176127,880,-527.9447,
176639,883,-804.2771,
177151,885,-438.4747,
177663,888,-190.0988,
178175,890,-406.8856,
178687,893,-424.3359,
179199,896,-386.8344,
179711,898,-337.6692,
180223,901,-608.2446,
180735,903,-674.8289,
181247,906,-433.6696,
181759,908,-562.9316,
182271,911,-461.7243,
182783,913,-421.6528,
183295,916,-416.5078,
183807,919,-432.4683,
184319,921,-568.6914,
184831,924,-414.5865,
185343,926,-378.3453,
185855,929,-405.438,
186367,931,-583.2002,
186879,934,-657.5429,
187391,936,-395.8364,
187903,939,-666.4276,
188415,942,-344.051,
188927,944,-528.4185,
189439,947,-332.6918,
189951,949,-387.1937,
190463,952,-426.4315,
190975,954,-329.0092,
191487,957,-327.8673,
191999,960,-429.0869,
192511,962,-391.422,
193023,965,-439.6335,
193535,967,-627.5418,
194047,970,-611.452,
194559,972,-310.6405,
195071,975,-446.4151,
195583,977,-650.8215,
196095,980,-391.1132,
196607,983,-424.629,
197119,985,-422.6784,
197631,988,-368.052,
198143,990,-456.747,
198655,993,-419.3982,
199167,995,-375.8496,
199679,998,-619.2698,
200191,1000,-330.9818,
200703,1003,-429.8965,
201215,1006,-305.2776,
201727,1008,-660.9592,
202239,1011,-440.6337,
202751,1013,-392.1603,
203263,1016,-335.082,
203775,1018,-575.0065,
204287,1021,-672.0078,
204799,1024,-396.7708,
205311,1026,-659.5974,
205823,1029,-436.7673,
206335,1031,-704.8003,
206847,1034,-468.3558,
207359,1036,-596.4837,
207871,1039,-435.7586,
208383,1041,-345.0738,
208895,1044,-317.7973,
209407,1047,-573.4172,
209919,1049,-560.2027,
210431,1052,-392.1514,
210943,1054,-441.1016,
211455,1057,-657.4795,
211967,1059,-439.0596,
212479,1062,-469.0662,
212991,1064,-471.5415,
213503,1067,-419.319,
214015,1070,-527.8627,
214527,1072,-380.1474,
215039,1075,-339.9442,
215551,1077,-486.4577,
216063,1080,-685.1246,
216575,1082,-322.062,
217087,1085,-662.1003,
217599,1088,-372.4655,
218111,1090,-471.3705,
218623,1093,-376.5458,
219135,1095,-399.0681,
219647,1098,-496.8989,
220159,1100,-397.8649,
220671,1103,-447.5683,
221183,1105,-352.0945,
221695,1108,-505.1546,
222207,1111,-532.2038,
222719,1113,-350.3479,
223231,1116,-245.9876,
223743,1118,-396.8011,
224255,1121,-305.8554,
224767,1123,-351.6806,
225279,1126,-367.1479,
225791,1128,-412.1954,
226303,1131,-375.6789,
226815,1134,-392.788,
227327,1136,-312.5079,
227839,1139,-344.5922,
228351,1141,-422.9779,
228863,1144,-488.4131,
229375,1146,-483.1685,
229887,1149,-304.9481,
230399,1152,-353.2597,
230911,1154,-204.3763,
231423,1157,-426.6447,
231935,1159,-464.7391,
232447,1162,-645.6195,
232959,1164,-424.8715,
233471,1167,-337.3669,
233983,1169,-371.1747,
234495,1172,-552.5328,
235007,1175,-405.667,
235519,1177,-354.0552,
236031,1180,-328.5564,
236543,1182,-1017.8882,
237055,1185,-419.9995,
237567,1187,-312.9412,
238079,1190,-437.498,
238591,1192,-350.8976,
239103,1195,-426.1631,
239615,1198,-349.8813,
240127,1200,-678.9569,
240639,1203,-489.5073,
241151,1205,-365.1361,
241663,1208,-365.1072,
242175,1210,-437.8771,
242687,1213,-599.9787,
243199,1216,-312.4625,
243711,1218,-531.761,
244223,1221,-750.8654,
244735,1223,-412.6951,
245247,1226,-356.1826,
245759,1228,-474.3639,
246271,1231,-568.8719,
246783,1233,-426.2963,
247295,1236,-373.6346,
247807,1239,-378.3567,
248319,1241,-507.5401,
248831,1244,-323.7268,
249343,1246,-397.8285,
249855,1249,-373.2974,
250367,1251,-343.8205,
250879,1254,-597.6402,
251391,1256,-386.8341,
251903,1259,-218.6867,
252415,1262,-459.9535,
252927,1264,-626.5762,
253439,1267,-721.7276,
253951,1269,-266.3008,
254463,1272,-351.8611,
254975,1274,-328.0914,
255487,1277,-382.5074,
255999,1280,-451.3595,
256511,1282,-318.1282,
257023,1285,-451.2373,
257535,1287,-562.5342,
258047,1290,-598.3951,
258559,1292,-803.4095,
259071,1295,-401.216,
259583,1297,-382.8805,
260095,1300,-307.1111,
260607,1303,-445.7369,
261119,1305,-433.3976,
261631,1308,-381.5154,
262143,1310,-835.3928,
262655,1313,-701.695,
263167,1315,-323.9268,
263679,1318,-630.6955,
264191,1320,-439.734,
264703,1323,-414.0292,
265215,1326,-354.0093,
265727,1328,-334.5433,
266239,1331,-302.1374,
266751,1333,-489.4572,
267263,1336,-465.9427,
267775,1338,-726.3874,
268287,1341,-384.1911,
268799,1344,-445.9301,
269311,1346,-867.7169,
269823,1349,-396.8196,
270335,1351,-342.3237,
270847,1354,-653.9678,
271359,1356,-402.1046,
271871,1359,-297.7766,
272383,1361,-835.3512,
272895,1364,-404.7024,
273407,1367,-607.3649,
273919,1369,-552.2839,
274431,1372,-514.9351,
274943,1374,-436.5349,
275455,1377,-733.26,
275967,1379,-491.8822,
276479,1382,-367.1803,
276991,1384,-501.1339,
277503,1387,-385.38,
278015,1390,-416.4486,
278527,1392,-597.2063,
279039,1395,-361.4359,
279551,1397,-439.812,
280063,1400,-349.7787,
280575,1402,-341.3135,
281087,1405,-331.5033,
281599,1408,-588.0691,
282111,1410,-454.9667,
282623,1413,-465.7083,
283135,1415,-654.9053,
283647,1418,-651.0429,
284159,1420,-377.5253,
284671,1423,-461.7033,
285183,1425,-499.0154,
285695,1428,-579.0097,
286207,1431,-614.7026,
286719,1433,-595.0483,
287231,1436,-349.4347,
287743,1438,-313.0813,
288255,1441,-453.0933,
288767,1443,-412.5011,
289279,1446,-600.3536,
289791,1448,-479.6321,
290303,1451,-383.2628,
290815,1454,-341.8219,
291327,1456,-618.0895,
291839,1459,-641.9221,
292351,1461,-347.4808,
292863,1464,-439.4926,
293375,1466,-576.8793,
293887,1469,-706.2971,
294399,1472,-504.0428,
294911,1474,-680.4313,
295423,1477,-728.377,
295935,1479,-618.8633,
296447,1482,-473.4112,
296959,1484,-335.136,
297471,1487,-614.0397,
297983,1489,-377.0026,
